Symbol,Date,Avg,Best,Worst
META,2026-04-08 23:29:54,617.9996,658.1892,588.2942
META,2026-04-13 00:26:07,693.4846,732.2482,664.8332
META,2026-04-14 02:44:19,734.1582,774.47,704.3626
META,2026-04-16 14:53:20,672.7972,705.2602,648.8029
SPY,2026-04-07 20:42:46,646.0658,665.2855,631.86
SPY,2026-04-08 23:29:58,663.5115,680.9679,650.6089
SPY,2026-04-13 00:26:11,649.6627,663.3828,639.5218
SPY,2026-04-14 02:44:04,655.378,668.7241,645.5135
SPY,2026-04-16 14:53:49,671.9428,683.6848,663.2639
AAPL,2026-04-07 20:42:50,262.6404,270.0363,257.1739
AAPL,2026-04-08 23:30:01,269.2086,277.4909,263.0869
AAPL,2026-04-13 00:25:57,268.6493,276.7063,262.6942
AAPL,2026-04-14 02:44:08,267.8004,276.0174,261.727
AAPL,2026-04-16 14:53:53,268.0069,275.2087,262.6838
MSFT,2026-04-07 20:42:54,337.7485,349.4055,329.1324
MSFT,2026-04-08 23:29:47,398.2704,410.0334,389.5761
MSFT,2026-04-13 00:26:00,376.6105,382.9326,371.9376
MSFT,2026-04-14 02:44:12,361.7612,367.9691,357.1728
MSFT,2026-04-16 14:53:57,445.4682,457.146,436.8369
AMZN,2026-04-07 20:42:43,234.5516,245.8114,226.2292
AMZN,2026-04-08 23:29:50,224.4151,232.9891,218.0779
AMZN,2026-04-13 00:26:04,211.3332,218.4314,206.0867
AMZN,2026-04-14 02:44:15,225.3875,233.6432,219.2854
AMZN,2026-04-16 14:54:00,231.4092,240.9146,224.3834
